time,potential
0.09068027210884354,0.0
0.09272108843537415,1.975578159830135e-24
0.09414965986394558,8.109747873772582e-23
0.09557823129251701,1.103516411957952e-21
0.09705215419501134,9.497697002287791e-21
0.09857142857142857,6.529779737127646e-20
0.1001360544217687,3.600991526131495e-19
0.10174603174603175,1.5912377005843823e-18
0.10335600907029478,5.813693517896048e-18
0.10498866213151928,1.8166410172431316e-17
0.10664399092970522,5.0027212966219956e-17
0.1082766439909297,1.24502678636552e-16
0.1099546485260771,2.8545224572807407e-16
0.11160997732426305,6.119779134254954e-16
0.11328798185941043,1.239731953866938e-15
0.11494331065759637,2.3993368971847615e-15
0.11662131519274377,4.467888147574245e-15
0.11829931972789116,8.048583934293811e-15
0.11997732426303855,1.4092980145414146e-14
0.12165532879818594,2.4071587382050436e-14
0.12333333333333334,4.02153893030884e-14
0.12501133786848073,6.584857354583055e-14
0.1266893424036281,1.0583795634735452e-13
0.12836734693877552,1.6718897096352982e-13
0.1300453514739229,2.5982273378217213e-13
0.13172335600907029,3.975734602351402e-13
0.1334013605442177,5.994501007132229e-13
0.13507936507936508,8.912101958652577e-13
0.1367573696145125,1.3072972212893174e-12
0.13843537414965987,1.893194571974039e-12
0.1400907029478458,2.7093899306886297e-12
0.1417687074829932,3.837095909504481e-12
0.1434467120181406,5.374273133597887e-12
0.14512471655328799,7.447730264949083e-12
0.14678004535147393,1.0222997382469506e-11
0.1484580498866213,1.3917000481922626e-11
0.15013605442176872,1.877034245148894e-11
0.15179138321995464,2.5091528848245562e-11
0.15346938775510205,3.333128580118434e-11
0.15514739229024943,4.3912521909355185e-11
0.15680272108843538,5.7399763903202875e-11
0.15848072562358276,7.463434843184127e-11
0.16015873015873017,9.632427253425009e-11
0.1618140589569161,1.235147412543979e-10
0.1634920634920635,1.575860952362049e-10
0.16517006802721088,1.9969615266841376e-10
0.16682539682539682,2.518448977718922e-10
0.16850340136054423,3.1590714460512346e-10
0.17015873015873018,3.939065408241889e-10
0.17183673469387756,4.894718347509322e-10
0.17351473922902494,6.046193342586681e-10
0.17517006802721088,7.439577278486755e-10
0.1768480725623583,9.112271130037257e-10
0.1785034013605442,1.1107590269907585e-09
0.18018140589569162,1.3498064935048499e-09
0.181859410430839,1.631606696944803e-09
0.18351473922902495,1.9675572055704995e-09
0.18519274376417233,2.361360434153237e-09
0.18684807256235827,2.8252384445432144e-09
0.18852607709750568,3.368023388797296e-09
0.1901814058956916,4.000116997662963e-09
0.191859410430839,4.7386502254509425e-09
0.19351473922902496,5.5893421792798754e-09
0.19519274376417234,6.582129621867148e-09
0.19687074829931972,7.71649701295968e-09
0.19852607709750567,9.033267236433908e-09
0.20020408163265307,1.0532565425048557e-08
0.20185941043083902,1.2257356202247689e-08
0.2035374149659864,1.4218489047623887e-08
0.20519274376417235,1.6455252570537685e-08
0.20687074829931973,1.8995478228685174e-08
